clips	text	text_process	pictos	tokens
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-108	lui demandant vas-tu te racheter esclave je me doute que tu dois être riche dis-moi ton prix	lui demandant vas-tu te racheter esclave je me doute que tu dois être riche dis-moi ton prix	[6481, 9840, 8142, 6625, 6457, 6632, 11696, 11351, 6625, 15523, 36480, 37803, 9693, 6632, 12281, 9874]	lui demander aller toi acheter me doute que toi devoir être riche dire me ton prix
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-8	et quand j'ai vu les serviteurs j'ai demandé	et quand j'ai vu les serviteurs j'ai demandé	[11399, 32874, 9839, 6632, 6564, 8477, 6632, 9840]	et quand passé me voir les me demander
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-54	il a fait semblant de manger	il a fait semblant de manger	[9839, 6480, 6190, 7074, 38413]	passé il faire de manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-9	est-ce que votre maître pourrait me donner à manger	est-ce que votre maître pourrait me donner à manger	[3418, 12285, 2457, 35949, 6632, 17040, 7041, 38413]	est-ce_que votre maître pouvoir me donner à manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-91	puis on a demandé du poulet avec des pistaches	puis on a demandé du poulet avec des pistaches	[9839, 31672, 9840, 11712, 4952, 7064, 5374, 3372]	passé nous demander du poulet avec plusieurs pistaches
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-31	l'homme s'est levé visiblement il était bien reçu	l'homme s'est levé visiblement il était bien reçu	[9839, 8476, 4665, 6549, 6480, 5397, 17044]	passé le homme se_lever il heureusement accepter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-128	et il a abandonné en haut d'une montagne	et il a abandonné en haut d'une montagne	[11399, 9839, 6480, 21328, 11709, 5388, 7074, 8474, 5520]	et passé il abandonner au haut de une montagne
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-135	mon histoire calife calife arun al rachide	mon histoire calife calife arun al rachide	[12264, 32634, 36935]	mon histoire haut_du_corps
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-25	tu n'as pas mangé depuis hier	tu n'as pas mangé depuis hier	[9839, 6625, 38413, 5526, 7074, 38279]	passé toi manger non de hier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-107	et son nouveau maître tous les jours le frappait	et son nouveau maître tous les jours le frappait	[11399, 12272, 11316, 2457, 5596, 9839, 8477, 7022, 8476, 4714]	et son nouveau maître tout passé les journée le frapper
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-3	je vivais de mendicité	je vivais de mendicité	[9839, 6632, 11605, 7074, 10251]	passé me vivre de hongrie
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-49	et regarde le plateau qu'il porte	et regarde le plateau qu'il porte	[11399, 6564, 8476, 2656, 6480, 3244]	et voir le plateau il porte
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-114	et tant qu'un jour il a été tellement énervé qu'il a sorti son couteau et qu'il lui a fendu la lèvre depuis ce temps-là	et tant qu'un jour il a été tellement énervé qu'il a sorti son couteau et qu'il lui a fendu la lèvre depuis ce temps-là	[11399, 7168, 11351, 2627, 37371, 6480, 5521, 37824, 11351, 6480, 5568, 12272, 3237, 11399, 11351, 6480, 6481, 2777, 8476, 2953, 7074, 16080, 22631, 5375]	et nombreux que un jour il beaucoup déranger que il sortir son couteau et que il lui dégobiller le lèvres de ce époque là
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-57	et petit à petit les plats ont défilé comme ça accompagnés de pain	et petit à petit les plats ont défilé comme ça accompagnés de pain	[11399, 4716, 7041, 4716, 9839, 8477, 4685, 5431, 12313, 6906, 37485, 7074, 2494]	et petit à petit passé les lisse commencer comme celle-là emmener de pain
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-26	oh et moi qui vis à bagdad	oh et moi qui vis à bagdad	[11399, 6632, 11351, 6564, 7041, 2704]	et me que voir à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-132	et cet homme est devenu barbier	et cet homme est devenu barbier	[11399, 9839, 7091, 4665, 2850]	et passé cet homme barbier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-82	et le maître de maison a levé la tête	et le maître de maison a levé la tête	[11399, 9839, 8476, 2457, 7074, 2317, 36073, 8476, 2673]	et passé le maître de maison lever le tête
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-48	regarde-moi ce serviteur n'est-il pas beau	regarde-moi ce serviteur n'est-il pas beau	[6564, 6632, 16080, 17018, 36480, 6480, 5526, 11194, 3417]	voir me ce corps_de_dos être il non beau !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-33	et là personne est venu	et là personne est venu	[11399, 5375, 9839, 34560, 32669]	et là passé personne venir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-100	et le mendiant s'est retrouvé à nouveau mendiant	et le mendiant s'est retrouvé à nouveau mendiant	[11399, 9839, 8476, 4723, 37163, 4723]	et passé le indigent une_autre_fois indigent
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-50	il a du mal à le soulever de ses deux mains	il a du mal à le soulever de ses deux mains	[6480, 7074, 30620, 7041, 8476, 36073, 7074, 12276, 4890, 9830]	il de avoir_mal à le lever de ses 2 mains
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-5	et parfois les jours se passaient bien parfois	et parfois les jours se passaient bien parfois	[11399, 27564, 9839, 8477, 7022, 31999, 5397, 27564]	et par_moment passé les journée passer heureusement par_moment
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-4	et j'allais de porte en porte en demandant une nourriture ou au mieux un gîte pour la nuit	et j'allais de porte en porte en demandant une nourriture ou au mieux un gîte pour la nuit	[11399, 9839, 6632, 8142, 7074, 3244, 11709, 3244, 11709, 9840, 8474, 4610, 11317, 11709, 11705, 2627, 31360, 7194, 8476, 26997]	et passé me aller de porte au porte au demander une nourriture ou au améliorer un aides_de_mobilité pour le nuit
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-17	je me suis j'ai dit maître maître de cette maison	je me suis j'ai dit maître maître de cette maison	[9839, 6632, 36480, 6632, 9693, 2457, 7074, 8476, 2317]	passé me être me dire maître de le maison
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-102	alors il s'est mis à errer dans les rues sans but précis	alors il s'est mis à errer dans les rues sans but précis	[9839, 6480, 6989, 7041, 7034, 8477, 2299, 7813, 6007]	passé il mettre à dans les rue sans but
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-130	un jour il y a une caravane qui est passée qui a récupéré cet homme	un jour il y a une caravane qui est passée qui a récupéré cet homme	[2627, 37371, 9001, 8474, 9839, 11351, 31999, 11351, 9026, 7091, 4665]	un jour il_y_a une passé que passer que rendre cet homme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-35	et le mendiant a regardé l'homme	et le mendiant a regardé l'homme	[11399, 9839, 8476, 4723, 6564, 8476, 4665]	et passé le indigent voir le homme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-80	et au bout d'un moment le mendiant s'est levé tout titubant	et au bout d'un moment le mendiant s'est levé tout titubant	[11399, 11709, 7074, 2627, 22633, 9839, 8476, 4723, 6549, 5596]	et au de un instant passé le indigent se_lever tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-2	eh bien écoute il y a bien longtemps alors que je n'exerçais pas encore le métier de barbier	eh bien écoute il y a bien longtemps alors que je n'exerçais pas encore le métier de barbier	[37779, 9001, 5397, 37678, 11351, 9839, 6632, 5526, 37163, 8476, 7795, 7074, 2850, 3417]	quelqu'un il_y_a heureusement longtemps que passé me non une_autre_fois le métier de barbier !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-20	il a dit oh	il a dit oh	[9839, 6480, 9693]	passé il dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-81	il s'est rapproché près du maître de maison et lui a donné un coup derrière la tête	il s'est rapproché près du maître de maison et lui a donné un coup derrière la tête	[9839, 6480, 6878, 5367, 2457, 7074, 2317, 11399, 6481, 9000, 5443, 8476, 2673]	passé il se_rapprocher à_côté_de maître de maison et lui donner_un_coup derrière le tête
