file	time	user	text	pictos_grammar	pictos_annot	pictos_grammar_tokens	pictos_annot_token	corpus_name
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691057753343.json	1691057753.0	chloé	et là personne est venu	['11399', '5375', '9839', '34560', '32669']	['11399', '5375', '9839', '34560', '32669']	['et', 'là', 'passé', 'personne', 'venir']	['et', 'là', 'passé', 'personne', 'venir']	frenchoralnarrative
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690968028938.json	1690968028.0	chloé	c'est le trottoir d'en face	['7095', '36480', '8476', '35111', '7074', '27365']	['7095', '36480', '8476', '35111', '7074', '27365']	['celui-là', 'être', 'le', 'allée', 'de', 'en_face']	['celui-là', 'être', 'le', 'allée', 'de', 'en_face']	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152121137.json	1691152121.0	cécile	c'est-à-dire sans tenir aucun compte de leurs performances en recherche	['16705', '7813', '5800', '12349', '7074', '12278', '11709', '32138']	['16705', '7813', '5800', '12349', '7074', '12278', '11709', '32138']	['expliquer', 'sans', 'aucun', 'considérer', 'de', 'leurs', 'au', 'recherche']	['expliquer', 'sans', 'aucun', 'considérer', 'de', 'leurs', 'au', 'recherche']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691079000169.json	1691079000.0	chloé	je te stresse	['6632', '15395']	['6632', '6625', '15395']	['me', 'praxie']	['me', 'toi', 'praxie']	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691079516980.json	1691079516.0	chloé	mais sinon si tu changes de région tu mets ton département	['11377', '28359', '6625', '37360', '7074', '35431', '6625', '6989', '12281', '16129']	['11377', '28359', '6625', '37360', '7074', '35431', '6625', '6989', '12281', '35431']	['cependant', 'si', 'toi', 'changer', 'de', 'comme', 'toi', 'mettre', 'ton', 'département']	['cependant', 'si', 'toi', 'changer', 'de', 'comme', 'toi', 'mettre', 'ton', 'comme']	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690970685605.json	1690970685.0	chloé	donc on résout les problèmes comme ça	['31672', '37711', '8477', '5556', '12313', '6906']	['31672', '37711', '12313', '6906']	['nous', 'réponse', 'les', 'problème', 'comme', 'celle-là']	['nous', 'réponse', 'comme', 'celle-là']	coralrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152926725.json	1691152926.0	chloé	il y avait un coliq comique qui dépassait par la bande des pneus crevés	['9001', '2627', '32582', '31977', '9857', '8482', '7212', '8476', '23811', '7074', '27972']	['9001', '2627', '31977', '9857', '8482', '7212', '8476', '23811', '7074', '27972']	['il_y_a', 'un', 'objets', 'humoriste', 'anonymes', 'dépasser', 'par', 'le', 'bande', 'de', 'crevaison']	['il_y_a', 'un', 'humoriste', 'anonymes', 'dépasser', 'par', 'le', 'bande', 'de', 'crevaison']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691143152218.json	1691143152.0	chloé	ben non pas du tout hein euh	['5526', '7074', '5596']	['5526', '7074', '5596']	['non', 'de', 'tout']	['non', 'de', 'tout']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691079546864.json	1691079546.0	chloé	oui on on est très soudées très soudées	['5584', '31672', '25708', '8696', '25708', '8696']	['5584', '31672', '25708', '8696', '25708', '8696']	['oui', 'nous', 'trop', 'souder', 'trop', 'souder']	['oui', 'nous', 'trop', 'souder', 'trop', 'souder']	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691142294400.json	1691142294.0	cécile	mais il est il était tout rouge et tout en plus	['11377', '9839', '6480', '36480', '6480', '36480', '5596', '2808', '11399', '5596', '11709', '5508']	['11377', '9839', '6480', '36480', '6480', '36480', '5596', '2808', '11399', '5596', '11709', '5508']	['cependant', 'passé', 'il', 'être', 'il', 'être', 'tout', 'rouge', 'et', 'tout', 'au', 'plus']	['cependant', 'passé', 'il', 'être', 'il', 'être', 'tout', 'rouge', 'et', 'tout', 'au', 'plus']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152765567.json	1691152765.0	chloé	quoi oui	['22620', '5584']	['22620', '5584']	['quoi', 'oui']	['quoi', 'oui']	valibel
