clips	text	text_process	pictos	tokens
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-108	lui demandant vas-tu te racheter esclave je me doute que tu dois être riche dis-moi ton prix	lui demandant vas-tu te racheter esclave je me doute que tu dois être riche dis-moi ton prix	[6481, 9840, 8142, 6625, 9014, 6632, 11696, 11351, 6625, 15523, 36480, 37803, 9693, 6632, 12281, 9874]	lui demander aller toi transaction me doute que toi devoir être riche dire me ton prix
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-8	et quand j'ai vu les serviteurs j'ai demandé	et quand j'ai vu les serviteurs j'ai demandé	[11399, 32874, 9839, 6632, 6564, 8477, 6632, 9840]	et quand passé me voir les me demander
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-54	il a fait semblant de manger	il a fait semblant de manger	[9839, 6480, 6190, 7074, 38413]	passé il faire de manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-9	est-ce que votre maître pourrait me donner à manger	est-ce que votre maître pourrait me donner à manger	[3418, 12285, 2457, 35949, 6632, 17040, 7041, 38413]	est-ce_que votre maître pouvoir me donner à manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-91	puis on a demandé du poulet avec des pistaches	puis on a demandé du poulet avec des pistaches	[9839, 31672, 9840, 11712, 4952, 7064, 5374, 3372]	passé nous demander du poulet avec plusieurs pistaches
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-31	l'homme s'est levé visiblement il était bien reçu	l'homme s'est levé visiblement il était bien reçu	[9839, 8476, 4665, 6549, 6480, 5397, 17044]	passé le homme se_lever il heureusement accepter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-128	et il a abandonné en haut d'une montagne	et il a abandonné en haut d'une montagne	[11399, 9839, 6480, 21328, 5388, 7074, 8474, 5520]	et passé il abandonner haut de une montagne
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-135	mon histoire calife calife arun al rachide	mon histoire calife calife arun al rachide	[12264, 32634, 36935]	mon histoire haut_du_corps
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-25	tu n'as pas mangé depuis hier	tu n'as pas mangé depuis hier	[9839, 6625, 38413, 5526, 7077, 38279]	passé toi manger non depuis hier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-107	et son nouveau maître tous les jours le frappait	et son nouveau maître tous les jours le frappait	[11399, 12272, 11316, 2457, 5596, 9839, 8477, 7022, 8476, 4714]	et son nouveau maître tout passé les journée le frapper
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-3	je vivais de mendicité	je vivais de mendicité	[9839, 6632, 11605, 7074, 10251]	passé me vivre de hongrie
