id_picto	lemma	synsets	sense_keys
10218	banane	['07769568-n']	['banana%1:13:00::']
4716	petit	['01397927-s', '01394303-a', '01395201-s']	['smaller%5:00:00:small:00', 'littler%5:00:00:small:00', 'little%3:00:01::', 'small%3:00:00::', 'diminutive%5:00:00:small:00', 'midget%5:00:00:small:00', 'petite%5:00:00:small:00', 'lilliputian%5:00:00:small:00', 'tiny%5:00:00:small:00', 'flyspeck%5:00:00:small:00', 'bantam%5:00:00:small:00']
7799	pouce	['05574850-n']	['thumb%1:08:00::', 'pollex%1:08:00::']
35571	peur	['07534492-n']	['fearfulness%1:12:00::', 'fright%1:12:00::', 'fear%1:12:00::']
5892	loup	['02116752-n']	['wolf%1:05:00::']
38286	se promener	[]	[]
7032	ils	['\\N']	[]
4642	se cacher	['02150244-v', '00427911-v']	['hide_out%2:39:00::', 'hide%2:39:01::', 'disappear%2:30:00::', 'vanish%2:30:00::', 'go_away%2:30:00::']
37850	vite	['05065291-n', '00979699-a', '00032846-s', '00981390-s']	['fastness%1:07:00::', 'speed%1:07:00::', 'swiftness%1:07:00::', 'fast%3:00:01::', 'agile%5:00:00:active:01', 'spry%5:00:00:active:01', 'quick%5:00:00:active:01', 'nimble%5:00:00:active:01', 'swift%5:00:00:fast:01', 'fleet%5:00:00:fast:01']
8476	le	['\\N']	[]
7028	elle	['\\N']	[]
6989	mettre	['01496967-v', '01496398-v']	['place%2:35:00::', 'put%2:35:00::', 'pose%2:35:02::', 'position%2:35:00::', 'lay%2:35:01::', 'set%2:35:00::', 'put%2:35:05::']
6480	il	['\\N']	[]
12276	ses	['\\N']	[]
2287	bottes	['02876113-n', '04123388-n']	['boot%1:06:00::', 'rubber_boot%1:06:00::', 'gum_boot%1:06:00::']
2886	noir	['00393873-a']	['black%3:00:01::']
10276	qui	['\\N']	[]
11712	du	['\\N']	[]
5504	pas d'accord	['01129296-a']	['bad%3:00:00::']
7186	nous	['\\N']	[]
11709	au	['\\N']	[]
8477	les	['\\N']	[]
16315	couloir	['03116750-n']	['corridor%1:06:00::']
12272	son	['\\N']	[]
27073	son	['11501330-n', '04988388-n', '05726201-n']	['sound%1:19:00::', 'sound%1:07:00::', 'sound%1:09:00::', 'auditory_sensation%1:09:00::']
17284	mouchoir	['03490877-n']	['hanky%1:06:00::', 'hankie%1:06:00::', 'hankey%1:06:00::', 'handkerchief%1:06:00::']
32669	venir	['00794133-v']	['call%2:32:05::', 'send_for%2:32:00::']
6564	voir	['02173796-v', '02134765-v', '02134989-v', '02133754-v']	['observe%2:39:00::', 'view%2:39:00::', 'look_at%2:39:01::', 'consider%2:39:08::', 'look%2:39:00::', 'see%2:39:00::']
3021	a	['06841868-n', '06831828-n']	['letter%1:10:01::', 'alphabetic_character%1:10:00::', 'letter_of_the_alphabet%1:10:00::', 'grapheme%1:10:00::', 'graph%1:10:02::', 'graphic_symbol%1:10:00::', 'character%1:10:00::']
26901	pas	['06657802-n']	['step%1:10:02::', 'footmark%1:10:00::', 'footprint%1:10:00::']
34483	violet	['04978025-n']	['violet%1:07:00::', 'reddish_blue%1:07:00::']
36480	être	['02610777-v']	['be%2:42:03::']
37721	aimer	['01832678-v', '01779085-v', '01780873-v', '01781131-v']	['love%2:37:02::', 'enjoy%2:37:01::', 'love%2:37:00::', 'like%2:37:04::', 'like%2:37:05::']
37825	je n'aime pas ça	['01780648-v']	['dislike%2:37:00::']
7307	vous	['\\N']	[]
7179	ne pas aimer	['01806732-a', '07516784-n', '01821097-v', '01780648-v']	['unpleasant%3:00:00::', 'dislike%1:12:00::', 'displease%2:37:00::', 'dislike%2:37:00::']
5526	non	['07219764-n', '00024946-r', '00024715-r']	['no%1:10:00::', 'no%4:02:01::', 'no%4:02:00::']
12264	mon	['\\N']	[]
24256	poil	['05262259-n', '05261857-n']	['hair%1:08:00::', 'hair%1:08:01::', 'pilus%1:08:00::']
6632	me	['\\N']	[]
26455	doux	['02244586-a']	['smooth%3:00:00::']
6632	moi	['\\N']	[]
37182	je ne suis pas d'accord	['\\N']	[]
2982	paysan	['10099179-n', '10098586-n']	['field_hand%1:18:00::', 'fieldhand%1:18:00::', 'farmhand%1:18:00::', 'farm_worker%1:18:00::', 'farmer%1:18:00::', 'granger%1:18:00::', 'sodbuster%1:18:00::', 'husbandman%1:18:00::']
6036	trou	['09327371-n', '03531378-n']	['hole%1:17:01::', 'hole%1:06:00::']
12266	mes	['\\N']	[]
8533	chasser	['01146304-v']	['hunt_down%2:33:00::', 'track_down%2:33:00::', 'hunt%2:33:00::', 'run%2:33:02::']
7074	de	['\\N']	[]
2600	tracteur	['04472736-n']	['tractor%1:06:00::']
32526	méchant	['01129296-a', '02523798-a']	['bad%3:00:00::', 'wicked%3:00:00::']
7120	hurler	['01050811-v', '00915018-v']	['skreigh%2:32:00::', 'screak%2:32:00::', 'squawk%2:32:01::', 'skreak%2:32:00::', 'screech%2:32:01::', 'hollo%2:32:00::', 'scream%2:32:01::', 'shout_out%2:32:00::', 'squall%2:32:00::', 'holler%2:32:05::', 'call%2:32:09::', 'yell%2:32:01::', 'cry%2:32:01::', 'shout%2:32:01::']
