clips	text	text_process	pictos	tokens
cefc-cfpb-1000-5-1198	c'est un des plats super de bruxelles	c'est un des plats super de bruxelles	[7095, 36480, 2627, 7074, 4685, 38564, 7074, 23769]	celui-là être un de lisse super de bruxelles
cefc-cfpb-1000-5-111	j'ai fait mon service militaire	j'ai fait mon service militaire	[9839, 6632, 6190, 12264, 24657, 36656]	passé me faire mon service militaire
cefc-cfpb-1000-5-592	il y a pas eu la fête qu'il y avait	il y a pas eu la fête qu'il y avait	[32761, 5526, 8476, 16649, 11351, 9001]	avoir non le fête que il_y_a
cefc-cfpb-1000-5-845	avant on on appelait les étudiants les sapins verts	avant on on appelait les étudiants les sapins verts	[32745, 31672, 9839, 31672, 6552, 8477, 6042, 8477, 3051, 4886]	avant nous passé nous crier les élève les sapin verts
cefc-cfpb-1000-5-313	et il part directement près du rouge-cloître	et il part directement près du rouge-cloître	[11399, 6480, 2432, 5367, 2808, 2704]	et il partir à_côté_de rouge ville
cefc-cfpb-1000-5-1762	euh laissez-moi cin dix minutes	euh laissez-moi cin dix minutes	[21793, 6632, 29254, 37374, 3417]	s'en_aller me 10 minute !
cefc-cfpb-1000-5-340	et est-ce que tu as un nom pour ton quartier	et est-ce que tu as un nom pour ton quartier	[11399, 3418, 6625, 32761, 2627, 38570, 7194, 12281, 25849]	et est-ce_que toi avoir un nom pour ton quartier
cefc-cfpb-1000-5-761	enfin on peut pas dialoguer	enfin on peut pas dialoguer	[31672, 35949, 3345, 5526]	nous pouvoir bavard non
cefc-cfpb-1000-5-888	monsieur le curé monsieur le curé » alors je dois lui euh euh	monsieur le curé monsieur le curé alors je dois lui euh euh	[4744, 8476, 30700, 4744, 8476, 30700, 6632, 15523, 6481]	monsieur le prêtre monsieur le prêtre me devoir lui
cefc-cfpb-1000-5-921	mais je veux bien venir avec un serrurier	mais je veux bien venir avec un serrurier	[11377, 5441, 5397, 32669, 7064, 2627, 2824]	alors_que vouloir heureusement venir avec un agent_de_police
cefc-cfpb-1000-5-891	c'est sympa	c'est sympa	[7095, 36480, 37800]	celui-là être adorable
cefc-cfpb-1000-5-1284	beh ouais mais d'accord ouais	beh oui mais d'accord oui	[5584, 11377, 31410, 5584]	oui alors_que d'accord oui
cefc-cfpb-1000-5-177	si les études	si les études	[28359, 8477, 36055]	si les études
cefc-cfpb-1000-5-1025	ah bè c'est vraiment une chouette histoire	ah bè c'est vraiment une chouette histoire	[7095, 36480, 8474, 2945, 32634]	celui-là être une hibou histoire
cefc-cfpb-1000-5-1433	et en plus bon je veux dire que regarde un peu quand tu tu m	et en plus bon je veux dire que regarde un peu quand tu tu m	[11399, 34641, 5441, 9693, 11351, 6564, 29105, 32874, 6625]	et exact vouloir dire que voir seconde quand toi
cefc-cfpb-1000-5-479	je me vois bruxellois ouais	je me vois bruxellois oui	[6632, 6564, 2704, 5584]	me voir ville oui
cefc-cfpb-1000-5-1355	ou on es va justement arrivé	ou on es va justement arrivé	[11317, 31672, 36480, 8142, 16807]	ou nous être aller arrive
cefc-cfpb-1000-5-339	ça c'est mon quartier	ça c'est mon quartier	[6906, 7095, 36480, 12264, 25849]	celle-là celui-là être mon quartier
cefc-cfpb-1000-5-270	ou tu prends la voiture	ou tu prends la voiture	[11317, 6625, 10148, 8476, 2339]	ou toi prendre le voiture
cefc-cfpb-1000-5-219	et puis alors euh et il lui a dit voilà	et puis alors euh et il lui a dit voilà	[11399, 9839, 6480, 6481, 9693]	et passé il lui dire
cefc-cfpb-1000-5-1167	ouais c'est ma femme qui cuisine oui vraiment	oui c'est ma femme qui cuisine oui vraiment	[5584, 7095, 36480, 12264, 24621, 11351, 2342, 5584]	oui celui-là être mon femme que préparer oui
cefc-cfpb-1000-5-992	on s'assied pas sur les tables	on s'assied pas sur les tables	[31672, 10177, 5526, 5451, 8477, 3129]	nous s'asseoir non sur les table
cefc-cfpb-1000-5-749	le quarante-et-un c'était un magasin de chaussures	le quarante-et-un c'était un magasin de chaussures	[9839, 8476, 32582, 7095, 36480, 2627, 2776]	passé le objets celui-là être un magasin_de_chaussures
cefc-cfpb-1000-5-654	donc euh forcément les pompiers on a pf euh un magasin quoi	donc euh forcément les pompiers on a pf euh un magasin quoi	[8477, 2664, 31672, 32761, 2627, 9116, 22620]	les pompier nous avoir un magasin quoi
cefc-cfpb-1000-5-991	comment les l dire	comment les l dire	[22619, 8477, 9693]	comment les dire
cefc-cfpb-1000-5-567	non c'est difficile	non c'est difficile	[5525, 7095, 36480, 32436]	non celui-là être dur
cefc-cfpb-1000-5-453	et là il y a une une vingtaine vingt-quatre étudiants	et là il y a une une vingtaine vingt-quatre étudiants	[11399, 5375, 9001, 8474, 29550, 29286, 6042]	et là il_y_a une vingt 24 élève
cefc-cfpb-1000-5-1159	content et heureux ouais	content et heureux oui	[31923, 11399, 3245, 5584]	content et heureux oui
cefc-cfpb-1000-5-11	tu préfères le remplir au début ou à la fin	tu préfères le remplir au début ou à la fin	[6625, 30510, 8476, 38805, 5431, 11317, 7041, 8476, 37064]	toi préférer le remplir commencer ou à le fin
cefc-cfpb-1000-5-1381	il y a le le manque de de de de comment de rotations de bus par exemple ou même de métros le métro	il y a le le manque de de de de comment de rotations de bus par exemple ou même de métros le métro	[9001, 8476, 32360, 7074, 22619, 7074, 24571, 7074, 38090, 11317, 4667, 7074, 2472, 8476, 2472]	il_y_a le manquer de comment de rotation de bus ou même de métro le métro
cefc-cfpb-1000-5-341	ou est-ce que c'est c'est vraiment juste	ou est-ce que c'est c'est vraiment juste	[11317, 3418, 7095, 36480, 7095, 36480, 21381]	ou est-ce_que celui-là être celui-là être juste
cefc-cfpb-1000-5-831	ça fait assez bizarre parfois hein	ça fait assez bizarre parfois hein	[6906, 6190, 11355, 27564]	celle-là faire bizarre épisodiquement
cefc-cfpb-1000-5-1242	euh mh est-ce que tu penses que ton quartier est agréable pour des enfants parce que il serait bien aménagé ou ou justement vu que tu parlais tantôt des changements	euh mh est-ce que tu penses que ton quartier est agréable pour des enfants parce que il serait bien aménagé ou ou justement vu que tu parlais tantôt des changements	[9839, 3418, 6625, 38796, 11351, 12281, 25849, 36480, 37793, 7194, 5374, 6975, 11348, 6480, 5397, 38237, 11317, 11348, 6625, 6517, 7074, 31955]	passé est-ce_que toi penser que ton quartier être confortable pour plusieurs enfants parce_que il heureusement décorateur_d’intérieur ou parce_que toi parler de changement
cefc-cfpb-1000-5-207	en fait mon pap mon mon papa euh travaillait pour une société extérieure	en fait mon pap mon mon papa euh travaillait pour une société extérieure	[12264, 32582, 12264, 9839, 12264, 31146, 6624, 7194, 8474, 8693, 5475]	mon objets mon passé mon papa travailler pour une société dehors
cefc-cfpb-1000-5-789	mais comme euh il y a pas mal de personnes différentes de différentes origines	mais comme euh il y a pas mal de personnes différentes de différentes origines	[11377, 12313, 9001, 5526, 5521, 34560, 32394, 7074, 32394, 12295]	alors_que comme il_y_a non beaucoup personne différent de différent raison
cefc-cfpb-1000-5-1829	tes potes dire ça tous tes tes collègues hein	tes potes dire ça tous tes tes collègues hein	[12283, 25790, 9693, 6906, 5596, 12283, 36532]	à_toi copain dire celle-là tout à_toi collègue
cefc-cfpb-1000-5-1510	il faut vraiment passer dans le magasin ou bien recevoir le journal de de euh de l'enseigne pour pour v pour savoir	il faut vraiment passer dans le magasin ou bien recevoir le journal de de euh de l'enseigne pour pour v pour savoir	[15523, 31999, 7034, 8476, 9116, 11317, 5397, 17044, 8476, 2845, 7074, 8476, 37544, 7194, 16885]	devoir passer dans le magasin ou heureusement accepter le journal de le groupe_parlementaire pour savoir
cefc-cfpb-1000-5-1398	pourquoi parce que parce que tu as personne pour pour pour gérer tout ça	pourquoi parce que parce que tu as personne pour pour pour gérer tout ça	[24763, 11348, 6625, 32761, 34560, 7194, 8994, 5596, 6906]	pourquoi parce_que toi avoir personne pour guider tout celle-là
cefc-cfpb-1000-5-559	ben le wallon euh je vais dire que chacun a ses origines euh ses son	ben le wallon euh je vais dire que chacun a ses origines euh ses son	[8476, 11217, 9829, 6632, 9693, 11351, 36081, 32761, 12276, 12295, 12276, 12272]	le scientifique prochain me dire que tout_le_monde avoir ses raison ses son
cefc-cfpb-1000-5-1453	il y a des activités qui se proposaient par exemple au bon marché	il y a des activités qui se proposaient par exemple au bon marché	[9001, 5374, 8008, 9839, 11351, 11576, 11709, 4574]	il_y_a plusieurs animation passé que proposer au bon_marché
cefc-cfpb-1000-5-1538	et puis je commence effectivement à fond ma journée	et puis je commence effectivement à fond ma journée	[6632, 5431, 5306, 12264, 7022]	me commencer rapidement mon journée
cefc-cfpb-1000-5-1316	à limal	à limal	[7041, 2704]	à ville
cefc-cfpb-1000-5-1206	ah oui les tomates farcies ouais aussi par contre les cuisiner les cuisiner ça	ah oui les tomates farcies oui aussi par contre les cuisiner les cuisiner ça	[5584, 8477, 2594, 3325, 5584, 11377, 8477, 2342, 8477, 2342, 6906]	oui les tomate faire_frire oui alors_que les préparer les préparer celle-là
cefc-cfpb-1000-5-582	et il y a cette tradition qui rat qui qui est depuis un depuis un certain nombre d'années	et il y a cette tradition qui rat qui qui est depuis un depuis un certain nombre d'années	[11399, 9001, 8476, 23398, 11351, 2821, 11351, 36480, 7077, 2627, 7077, 5374, 7074, 6903]	et il_y_a le interculturalité que rat que être depuis un depuis plusieurs de année
cefc-cfpb-1000-5-614	euh les gens évidemment quand ils viennent en belgique ils essayent d'avoir euh de du travail de d'avoir un logement	euh les gens évidemment quand ils viennent en belgique ils essayent d'avoir euh de du travail de d'avoir un logement	[8477, 38444, 32874, 7032, 32669, 11709, 8040, 7032, 26144, 7074, 32761, 7074, 11712, 16087, 7074, 32761, 2627, 6964]	les gens quand ils venir au belgique ils essayer de avoir de du emploi de avoir un demeure
cefc-cfpb-1000-5-805	je veux dire qu'il y a pas vraiment	je veux dire qu'il y a pas vraiment	[5441, 9693, 11351, 9001, 5526]	vouloir dire que il_y_a non
cefc-cfpb-1000-5-1651	et moi je demande que ça forcément puis je travaille ici	et moi je demande que ça forcément puis je travaille ici	[11399, 6632, 9840, 11351, 6906, 6632, 6624, 5382]	et me demander que celle-là me travailler ici
