clips	text	text_process	pictos	tokens
cefc-clapi-aperitif_chat-175	ah ouais	ah oui	[5584]	oui
cefc-clapi-aperitif_chat-331	à une autre dimension la quatrième plus grande ville de suède euh linköping c'est ça ça doit avoir la taille de h	à une autre dimension la quatrième plus grande ville de suède euh linköping c'est ça ça doit avoir la taille de h	[7041, 8474, 17054, 8476, 34475, 4658, 2704, 7074, 2704, 7095, 36480, 6906, 15523, 32761, 8476, 8704, 7074]	à une autre le quatrième grand ville de ville celui-là être celle-là devoir avoir le quelle_taille de
cefc-clapi-aperitif_chat-406	bah c'est	bah c'est	[7095, 36480]	celui-là être
cefc-clapi-aperitif_chat-688	et lui en fait c'était la première fois qu'il assistait h la prof en fait	et lui en fait c'était la première fois qu'il assistait h la prof en fait	[11399, 6481, 9839, 7095, 36480, 8476, 37752, 11351, 6480, 21385, 8476, 6556]	et lui passé celui-là être le première_fois que il assister le prof
cefc-clapi-aperitif_chat-728	mais moi jamais je comprendrais tu vois	mais moi jamais je comprendrais tu vois	[11377, 6632, 5527, 6632, 11697, 11617]	alors_que me jamais me comprendre tu_vois
cefc-clapi-aperitif_chat-1152	nan nan nan	nan nan nan	[5525]	non
cefc-clapi-aperitif_chat-1016	hm c'est bizarre pourtant à lyon en fait	hm c'est bizarre pourtant à lyon en fait	[7095, 36480, 11355, 11377, 7041, 2704]	celui-là être bizarre alors_que à ville
cefc-clapi-aperitif_chat-1022	donc il faudra qu'on y aille bientôt là	donc il faudra qu'on y aille bientôt là	[15523, 11351, 31672, 8142, 5375]	devoir que nous aller là
cefc-clapi-aperitif_chat-684	en plus une fois en fait il est venu avec moi en cours	en plus une fois en fait il est venu avec moi en cours	[27385, 9839, 6480, 32669, 7064, 6632, 11709, 23404]	fois passé il venir avec me au cours
cefc-clapi-aperitif_chat-1037	c'est comme le vélov	c'est comme le vélov	[7095, 36480, 12313, 8476, 32560]	celui-là être comme le danse_classique
cefc-clapi-aperitif_chat-338	nan mais la c'est quand même différent en france	nan mais la c'est quand même différent en france	[5525, 11377, 8476, 7095, 36480, 32394, 11709, 8121]	non alors_que le celui-là être différent au france
cefc-clapi-aperitif_chat-699	mais c'est	mais c'est	[11377, 7095, 36480]	alors_que celui-là être
cefc-clapi-aperitif_chat-500	bah il a jamais touché au canapé jusque là hein	bah il a jamais touché au canapé jusque là hein	[9839, 6480, 5527, 39051, 11709, 2571, 5375]	passé il jamais tâter au canapé là
cefc-clapi-aperitif_chat-361	ça ça me dit rien	ça ça me dit rien	[6906, 6632, 9693, 29839]	celle-là me dire rien
cefc-clapi-aperitif_chat-261	ah ouais	ah oui	[5584]	oui
cefc-clapi-aperitif_chat-936	ben ça dépend en fait ce que tu en fais hein	ben ça dépend en fait ce que tu en fais hein	[6906, 11481, 7095, 11351, 6625, 11709, 6190]	celle-là dépendre celui-là que toi au faire
cefc-clapi-aperitif_chat-491	ils sont classés par catégorie en fait	ils sont classés par catégorie en fait	[7032, 6048, 7212, 30205]	ils classer par catégories
cefc-clapi-aperitif_chat-4	ça va et toi	ça va et toi	[11597, 11399, 6625]	comment_ça_va et toi
cefc-clapi-aperitif_chat-656	mais ça c'est boîte noire de la science	mais ça c'est boîte noire de la science	[11377, 6906, 7095, 36480, 5935, 2886, 7074, 8476, 35437]	alors_que celle-là celui-là être boîte noir de le sciences_naturelles
cefc-clapi-aperitif_chat-309	on parle beaucoup d'anglais	on parle beaucoup d'anglais	[31672, 6517, 5521, 7074, 32705]	nous parler beaucoup de anglais
cefc-clapi-aperitif_chat-627	les chats ça écoute pas c'est très indépendant	les chats ça écoute pas c'est très indépendant	[8477, 2406, 6906, 28659, 5526, 7095, 36480, 25708, 30251]	les chats celle-là écouter non celui-là être trop indépendant
cefc-clapi-aperitif_chat-243	ouais tu as f	oui tu as f	[5584, 6625, 32761]	oui toi avoir
cefc-clapi-aperitif_chat-352	hé mais elle aussi elle a fait une année de fac à besançon	hé mais elle aussi elle a fait une année de fac à besançon	[11377, 7028, 9839, 7028, 6190, 8474, 6903, 7074, 15537, 7041, 2704]	alors_que elle passé elle faire une année de université à ville
cefc-clapi-aperitif_chat-205	peu importe hein toute façon	peu importe hein toute façon	[5546, 21927, 5596]	peu importer tout
cefc-clapi-aperitif_chat-872	en plus même pour les concours les	en plus même pour les concours les	[4667, 7194, 8477, 38462, 8477]	même pour les contrôle les
cefc-clapi-aperitif_chat-666	hm euh elles sont plus utilisées pour euh pour le dressage	hm euh elles sont plus utilisées pour euh pour le dressage	[7030, 5508, 15485, 7194, 8476, 29885]	elles plus_ utiliser pour le magasin_d'articles_de_chasse_et_pêche
cefc-clapi-aperitif_chat-337	bah c'est toute façon	bah c'est toute façon	[7095, 36480, 5596]	celui-là être tout
cefc-clapi-aperitif_chat-1011	donc enfin	donc enfin	[]	None
cefc-clapi-aperitif_chat-347	j'ai fait j'ai fait quelques années de fac à à besançon	j'ai fait j'ai fait quelques années de fac à à besançon	[9839, 6632, 6190, 6632, 6190, 36513, 6903, 7074, 15537, 7041, 2704]	passé me faire me faire n'importe_qui année de université à ville
cefc-clapi-aperitif_chat-581	ils sont fragiles	ils sont fragiles	[7032, 36480, 38734]	ils être fragile
cefc-clapi-aperitif_chat-111	ouais tu as	oui tu as	[5584, 6625, 32761]	oui toi avoir
cefc-clapi-aperitif_chat-414	ils te voient beaucoup mieux ouais	ils te voient beaucoup mieux oui	[7032, 6625, 6564, 5521, 11705, 5584]	ils toi voir beaucoup améliorer oui
cefc-clapi-aperitif_chat-151	non je vais prendre ça en fait	non je vais prendre ça en fait	[5525, 9829, 6632, 10148, 6906]	non prochain me prendre celle-là
cefc-clapi-aperitif_chat-89	ouais c'est sympa ça	oui c'est sympa ça	[5584, 7095, 36480, 37800, 6906]	oui celui-là être adorable celle-là
cefc-clapi-aperitif_chat-825	ça ouais ouais	ça oui oui	[6906, 5584]	celle-là oui
cefc-clapi-aperitif_chat-231	mais en fait c'était un semestre assez long fin	mais en fait c'était un semestre assez long fin	[11377, 9839, 7095, 36480, 2627, 26162, 37064]	alors_que passé celui-là être un long fin
cefc-clapi-aperitif_chat-1031	nan mais tu as raison enfin en plus	nan mais tu as raison enfin en plus	[5525, 11377, 6625, 8715]	non alors_que toi sûr
cefc-clapi-aperitif_chat-70	mais pourquoi forcément alcoolisé	mais pourquoi forcément alcoolisé	[11377, 24763, 26626]	alors_que pourquoi vodka
cefc-clapi-aperitif_chat-1151	nnaammee tu veux pas prendre de veste	nnaammee tu veux pas prendre de veste	[36935, 6625, 5441, 10148, 5526, 7074, 3296]	haut_du_corps toi vouloir prendre non de veste
cefc-clapi-aperitif_chat-162	c'est vrai que tout à l'heure on va en boîte	c'est vrai que tout à l'heure on va en boîte	[7095, 36480, 5584, 11351, 32749, 31672, 8142, 11709, 5935]	celui-là être oui que après nous aller au boîte
